Task ID,Type,Name,Status,Project,Context,Start Date,Due Date,Completion Date,Duration,Flagged,Notes
1,Completed today
1.1,Action,输出直方图按照 context 着色,,side_projects,Python,2018-09-22 11:16:00 +0000,,2018-09-22 11:55:55 +0000,39m,0,
1.2,Action,给直方图添加 y-ticks 日期标注,,side_projects,Python,2018-09-22 09:36:00 +0000,,2018-09-22 10:08:19 +0000,32m,0,
1.3,Action,3.2 队列,,数据结构考研复习指导,Draft,2018-09-22 02:18:00 +0000,,2018-09-22 07:59:34 +0000,53m,0,"-> 10:29
11:19 -> 11:27
15:25 ->"
1.4,Action,7 課 こそあ自分と相手との関係,,🐚 Japanese 日本語,Mac,,,2018-09-22 07:03:26 +0000,,0,
1.5,Action,ポイント 2 話の中に出てくる「に・そ・あ」,,🐚 Japanese 日本語,Mac,2018-09-22 06:28:00 +0000,,2018-09-22 07:03:16 +0000,35m,0,
1.6,Action,ポイント 1 「こ・そ・あ」の使い方　その場で、物や人を指して話すとき,,🐚 Japanese 日本語,Mac,2018-09-22 05:52:00 +0000,,2018-09-22 06:28:10 +0000,36m,0,
1.7,Action,wikipedia url 转化成对应 wikiwand url,,side_projects,JavaScript,2018-09-22 02:30:00 +0000,,2018-09-22 03:11:32 +0000,41m,0,
1.8,Action, 3-6 课的笔记总结,,🐚 Japanese 日本語,Mac,2018-09-22 00:59:00 +0000,,2018-09-22 01:57:25 +0000,58m,0,
2,Yesterday
2.1,Action,根据 gantt chart 绘制连续多日直方图,,side_projects,Python,2018-09-21 12:08:00 +0000,,2018-09-21 15:07:25 +0000,179m,0,将每天的 gantt chart 绘制成一个 bar，多日的数据绘制到同一天中 0-24 点。以此观察平均每天的一个概况。
2.2,Action,matplotlib 中文显示问题,,🤔 Issues,Safari,2018-09-21 09:28:00 +0000,,2018-09-21 09:43:57 +0000,15m,0,https://www.zhihu.com/question/25404709/answer/495606712
2.3,Action,Elevate app 训练,,🐚 English,iOS,,,2018-09-21 09:21:35 +0000,13m,0,
2.4,Action,6 課 ふつう形,,🐚 Japanese 日本語,Mac,,,2018-09-21 08:40:38 +0000,,0,
2.5,Action,ポイント 5,,🐚 Japanese 日本語,Mac,,,2018-09-21 08:39:44 +0000,50m,0,
2.6,Action,ポイント 4 ふつう形を使う文型　〜の（ん）です,,🐚 Japanese 日本語,Mac,2018-09-21 01:45:00 +0000,,2018-09-21 07:49:01 +0000,21m,0,"-> 9:54
15:37 ->"
2.7,Action,对输出的 gantt chart 进行美化,,side_projects,Python,2018-09-21 05:24:00 +0000,,2018-09-21 06:43:35 +0000,79m,0,https://stackoverflow.com/questions/31820578/how-to-plot-stacked-event-duration-gantt-charts-using-python-pandas/40570902
2.8,Action,制作每日已完成任务的 Gantt Chart,,side_projects,Python,2018-09-21 02:04:00 +0000,,2018-09-21 03:33:32 +0000,77m,0,"https://stackoverflow.com/questions/43876089/python-pandas-flight-arrival-and-departure-time-on-separate-row-to-be-matche

 -> 10:14
10:26 ->"
2.9,Action,ポイント 3 ふつう形を使う文型　名詞修飾,,🐚 Japanese 日本語,Mac,,,2018-09-21 01:45:53 +0000,18m,0,
2.10,Action,ポイント 2 ふつう形を使う文型　引用・伝聞,,🐚 Japanese 日本語,Mac,,,2018-09-21 01:27:09 +0000,19m,0,
2.11,Action,ポイント 1 ていねい形とふつう形,,🐚 Japanese 日本語,Mac,2018-09-21 00:47:00 +0000,,2018-09-21 01:08:19 +0000,21m,0,
3,Within the last week
3.1,Action,Preparation | 制作每日 Gantt Chart,,side_projects,Python,2018-09-20 15:10:00 +0000,,2018-09-20 15:39:16 +0000,29m,0,"https://community.periscopedata.com/t/x1jl8v/gantt-chart-for-team-workflows

https://stackoverflow.com/questions/43367690/how-to-get-gantt-plot-using-matplotlib <https://community.periscopedata.com/t/x1jl8v/gantt-chart-for-team-workflows>"
3.2,Action,2.4 死锁,,操作系统考研复习指导,Draft,2018-09-20 07:29:00 +0000,,2018-09-20 15:01:44 +0000,72m,0,"-> 15:35
20:32 -> 20:40
22:03 ->"
3.3,Action,Elevate app 训练,,🐚 English,iOS,,,2018-09-20 10:51:07 +0000,64m,0,
3.4,Action,5 課 動詞の活用の文型,,🐚 Japanese 日本語,Mac,,,2018-09-20 09:38:54 +0000,,0,
3.5,Action,ポイント 3 「辞書形」なたは「ない形」につながる文型,,🐚 Japanese 日本語,Mac,,,2018-09-20 09:38:32 +0000,37m,0,
3.6,Action,ポイント 2 「ます形」につながる文型と「辞書形」につながる文型,,🐚 Japanese 日本語,Mac,2018-09-20 01:52:00 +0000,,2018-09-20 09:01:25 +0000,42m,0,"-> 10:10
16:37 ->"
3.7,Action,6.5 Deadlock,,"Operating Systems: Principles and Practice - Thomas Anderson, Michael Dahlin",Mac,2018-09-20 06:31:00 +0000,,2018-09-20 08:15:11 +0000,96m,0,"-> 15:29
15:37 ->"
